CLO1,anomaly_scores,anomaly
90,0.26594553466401516,1
91,0.26552928842299117,1
95,0.28709739690237807,1
89,0.24262816134626308,1
86,0.17926595254046063,1
40,-0.004511459571218457,-1
98,0.10074302772169408,1
96,0.251656090791755,1
96,0.251656090791755,1
89,0.24262816134626308,1
77,0.018045838284873827,1
35,-0.02387168050648969,-1
95,0.28709739690237807,1
95,0.28709739690237807,1
97,0.17992223477349834,1
93,0.2455099835347685,1
91,0.26552928842299117,1
90,0.26594553466401516,1
92,0.2466625032980997,1
50,-0.045622105394431345,-1
94,0.2564737842075442,1
95,0.28709739690237807,1
86,0.17926595254046063,1
